invoice_date,stock_code,weekly_demand,baseline_forecast,moving_average_forecast,exp_smoothing_forecast,holt_forecast,final_forecast
2011-09-25,21212,1028,955,658.0,706.828181183601,675.6861911958915,675.6861911958915
2011-10-02,21212,359,955,658.0,706.828181183601,670.1555071679431,670.1555071679431
2011-10-09,21212,477,955,658.0,706.828181183601,664.6248231399946,664.6248231399946
2011-10-16,21212,499,955,658.0,706.828181183601,659.0941391120463,659.0941391120463
2011-10-23,21212,503,955,658.0,706.828181183601,653.5634550840979,653.5634550840979
2011-10-30,21212,521,955,658.0,706.828181183601,648.0327710561495,648.0327710561495
2011-11-06,21212,1041,955,658.0,706.828181183601,642.502087028201,642.502087028201
2011-11-13,21212,362,955,658.0,706.828181183601,636.9714030002526,636.9714030002526
2011-11-20,21212,588,955,658.0,706.828181183601,631.4407189723042,631.4407189723042
2011-11-27,21212,341,955,658.0,706.828181183601,625.9100349443559,625.9100349443559
2011-12-04,21212,546,955,658.0,706.828181183601,620.3793509164074,620.3793509164074
2011-12-11,21212,266,955,658.0,706.828181183601,614.848666888459,614.848666888459
2011-09-25,84077,587,1296,768.5,963.1254128061672,1144.208730759225,963.1254128061672
2011-10-02,84077,1008,1296,768.5,963.1254128061672,1148.6255401492547,963.1254128061672
2011-10-09,84077,893,1296,768.5,963.1254128061672,1153.042349539284,963.1254128061672
2011-10-16,84077,730,1296,768.5,963.1254128061672,1157.4591589293134,963.1254128061672
2011-10-23,84077,975,1296,768.5,963.1254128061672,1161.875968319343,963.1254128061672
2011-10-30,84077,5328,1296,768.5,963.1254128061672,1166.2927777093723,963.1254128061672
2011-11-06,84077,974,1296,768.5,963.1254128061672,1170.7095870994017,963.1254128061672
2011-11-13,84077,1167,1296,768.5,963.1254128061672,1175.1263964894313,963.1254128061672
2011-11-20,84077,1170,1296,768.5,963.1254128061672,1179.5432058794606,963.1254128061672
2011-11-27,84077,915,1296,768.5,963.1254128061672,1183.96001526949,963.1254128061672
2011-12-04,84077,689,1296,768.5,963.1254128061672,1188.3768246595196,963.1254128061672
2011-12-11,84077,1073,1296,768.5,963.1254128061672,1192.793634049549,963.1254128061672
2011-09-25,84879,701,908,615.5,798.8520359132767,764.8834660969097,798.8520359132767
2011-10-02,84879,791,908,615.5,798.8520359132767,759.4616414447229,798.8520359132767
2011-10-09,84879,589,908,615.5,798.8520359132767,754.0398167925359,798.8520359132767
2011-10-16,84879,420,908,615.5,798.8520359132767,748.6179921403491,798.8520359132767
2011-10-23,84879,821,908,615.5,798.8520359132767,743.1961674881622,798.8520359132767
2011-10-30,84879,778,908,615.5,798.8520359132767,737.7743428359754,798.8520359132767
2011-11-06,84879,968,908,615.5,798.8520359132767,732.3525181837886,798.8520359132767
2011-11-13,84879,1740,908,615.5,798.8520359132767,726.9306935316017,798.8520359132767
2011-11-20,84879,1310,908,615.5,798.8520359132767,721.5088688794148,798.8520359132767
2011-11-27,84879,1026,908,615.5,798.8520359132767,716.0870442272279,798.8520359132767
2011-12-04,84879,953,908,615.5,798.8520359132767,710.6652195750411,798.8520359132767
2011-12-11,84879,672,908,615.5,798.8520359132767,705.2433949228542,798.8520359132767
2011-09-25,85099B,1667,741,858.0,869.3190716249227,901.5912724873914,901.5912724873914
2011-10-02,85099B,929,741,858.0,869.3190716249227,902.270661518307,902.270661518307
2011-10-09,85099B,2569,741,858.0,869.3190716249227,902.9500505492226,902.9500505492226
2011-10-16,85099B,647,741,858.0,869.3190716249227,903.6294395801382,903.6294395801382
2011-10-23,85099B,1045,741,858.0,869.3190716249227,904.3088286110537,904.3088286110537
2011-10-30,85099B,500,741,858.0,869.3190716249227,904.9882176419693,904.9882176419693
2011-11-06,85099B,1063,741,858.0,869.3190716249227,905.667606672885,905.667606672885
2011-11-13,85099B,1999,741,858.0,869.3190716249227,906.3469957038005,906.3469957038005
2011-11-20,85099B,1602,741,858.0,869.3190716249227,907.0263847347161,907.0263847347161
2011-11-27,85099B,753,741,858.0,869.3190716249227,907.7057737656316,907.7057737656316
2011-12-04,85099B,1050,741,858.0,869.3190716249227,908.3851627965473,908.3851627965473
2011-12-11,85099B,451,741,858.0,869.3190716249227,909.0645518274629,909.0645518274629
2011-09-25,85123A,705,658,566.0,622.8293276326385,581.2583012882708,658.0
2011-10-02,85123A,398,658,566.0,622.8293276326385,574.3958209314451,658.0
2011-10-09,85123A,163,658,566.0,622.8293276326385,567.5333405746193,658.0
2011-10-16,85123A,679,658,566.0,622.8293276326385,560.6708602177935,658.0
2011-10-23,85123A,231,658,566.0,622.8293276326385,553.8083798609678,658.0
2011-10-30,85123A,444,658,566.0,622.8293276326385,546.945899504142,658.0
2011-11-06,85123A,1702,658,566.0,622.8293276326385,540.0834191473161,658.0
2011-11-13,85123A,575,658,566.0,622.8293276326385,533.2209387904904,658.0
2011-11-20,85123A,1322,658,566.0,622.8293276326385,526.3584584336646,658.0
2011-11-27,85123A,897,658,566.0,622.8293276326385,519.4959780768388,658.0
2011-12-04,85123A,725,658,566.0,622.8293276326385,512.6334977200131,658.0
2011-12-11,85123A,649,658,566.0,622.8293276326385,505.7710173631873,658.0
