invoice_date,stock_code,description,weekly_demand,active_days,complete_week
2009-12-06,21212,PACK OF 72 RETROSPOT CAKE CASES,1528,6,True
2009-12-13,21212,PACK OF 72 RETROSPOT CAKE CASES,1121,6,True
2009-12-20,21212,PACK OF 72 RETROSPOT CAKE CASES,1591,6,True
2009-12-27,21212,PACK OF 72 RETROSPOT CAKE CASES,764,3,False
2010-01-03,21212,PACK OF 72 RETROSPOT CAKE CASES,0,0,False
2010-01-10,21212,PACK OF 72 RETROSPOT CAKE CASES,771,6,True
2010-01-17,21212,PACK OF 72 RETROSPOT CAKE CASES,505,6,True
2010-01-24,21212,PACK OF 72 RETROSPOT CAKE CASES,1203,6,True
2010-01-31,21212,PACK OF 72 RETROSPOT CAKE CASES,1445,6,True
2010-02-07,21212,PACK OF 72 RETROSPOT CAKE CASES,972,6,True
2010-02-14,21212,PACK OF 72 RETROSPOT CAKE CASES,905,6,True
2010-02-21,21212,PACK OF 72 RETROSPOT CAKE CASES,881,6,True
2010-02-28,21212,PACK OF 72 RETROSPOT CAKE CASES,1507,6,True
2010-03-07,21212,PACK OF 72 RETROSPOT CAKE CASES,1314,6,True
2010-03-14,21212,PACK OF 72 RETROSPOT CAKE CASES,569,6,True
2010-03-21,21212,PACK OF 72 RETROSPOT CAKE CASES,1301,6,True
2010-03-28,21212,PACK OF 72 RETROSPOT CAKE CASES,880,6,True
2010-04-04,21212,PACK OF 72 RETROSPOT CAKE CASES,559,4,False
2010-04-11,21212,PACK OF 72 RETROSPOT CAKE CASES,1724,5,True
2010-04-18,21212,PACK OF 72 RETROSPOT CAKE CASES,1300,6,True
2010-04-25,21212,PACK OF 72 RETROSPOT CAKE CASES,791,6,True
2010-05-02,21212,PACK OF 72 RETROSPOT CAKE CASES,1472,6,True
2010-05-09,21212,PACK OF 72 RETROSPOT CAKE CASES,958,5,True
2010-05-16,21212,PACK OF 72 RETROSPOT CAKE CASES,911,6,True
2010-05-23,21212,PACK OF 72 RETROSPOT CAKE CASES,939,6,True
2010-05-30,21212,PACK OF 72 RETROSPOT CAKE CASES,1495,6,True
2010-06-06,21212,PACK OF 72 RETROSPOT CAKE CASES,836,5,True
2010-06-13,21212,PACK OF 72 RETROSPOT CAKE CASES,1456,6,True
2010-06-20,21212,PACK OF 72 RETROSPOT CAKE CASES,717,6,True
2010-06-27,21212,PACK OF 72 RETROSPOT CAKE CASES,483,6,True
2010-07-04,21212,PACK OF 72 RETROSPOT CAKE CASES,1497,6,True
2010-07-11,21212,PACK OF 72 RETROSPOT CAKE CASES,1137,6,True
2010-07-18,21212,PACK OF 72 RETROSPOT CAKE CASES,847,6,True
2010-07-25,21212,PACK OF 72 RETROSPOT CAKE CASES,1481,6,True
2010-08-01,21212,PACK OF 72 RETROSPOT CAKE CASES,795,6,True
2010-08-08,21212,PACK OF 72 RETROSPOT CAKE CASES,329,6,True
2010-08-15,21212,PACK OF 72 RETROSPOT CAKE CASES,1899,6,True
2010-08-22,21212,PACK OF 72 RETROSPOT CAKE CASES,1857,6,True
2010-08-29,21212,PACK OF 72 RETROSPOT CAKE CASES,397,6,True
2010-09-05,21212,PACK OF 72 RETROSPOT CAKE CASES,1097,5,True
2010-09-12,21212,PACK OF 72 RETROSPOT CAKE CASES,687,6,True
2010-09-19,21212,PACK OF 72 RETROSPOT CAKE CASES,1006,6,True
2010-09-26,21212,PACK OF 72 RETROSPOT CAKE CASES,1040,6,True
2010-10-03,21212,PACK OF 72 RETROSPOT CAKE CASES,1296,6,True
2010-10-10,21212,PACK OF 72 RETROSPOT CAKE CASES,2731,6,True
2010-10-17,21212,PACK OF 72 RETROSPOT CAKE CASES,1561,6,True
2010-10-24,21212,PACK OF 72 RETROSPOT CAKE CASES,1358,6,True
2010-10-31,21212,PACK OF 72 RETROSPOT CAKE CASES,613,6,True
2010-11-07,21212,PACK OF 72 RETROSPOT CAKE CASES,1095,6,True
2010-11-14,21212,PACK OF 72 RETROSPOT CAKE CASES,890,6,True
2010-11-21,21212,PACK OF 72 RETROSPOT CAKE CASES,1686,6,True
2010-11-28,21212,PACK OF 72 RETROSPOT CAKE CASES,1307,6,True
2010-12-05,21212,PACK OF 72 RETROSPOT CAKE CASES,1839,6,True
2010-12-12,21212,PACK OF 72 RETROSPOT CAKE CASES,1104,6,True
2010-12-19,21212,PACK OF 72 RETROSPOT CAKE CASES,664,6,True
2010-12-26,21212,PACK OF 72 RETROSPOT CAKE CASES,1363,4,False
2011-01-02,21212,PACK OF 72 RETROSPOT CAKE CASES,0,0,False
2011-01-09,21212,PACK OF 72 RETROSPOT CAKE CASES,324,5,True
2011-01-16,21212,PACK OF 72 RETROSPOT CAKE CASES,618,6,True
2011-01-23,21212,PACK OF 72 RETROSPOT CAKE CASES,1753,6,True
2011-01-30,21212,PACK OF 72 RETROSPOT CAKE CASES,555,6,True
2011-02-06,21212,PACK OF 72 RETROSPOT CAKE CASES,558,6,True
2011-02-13,21212,PACK OF 72 RETROSPOT CAKE CASES,347,6,True
2011-02-20,21212,PACK OF 72 RETROSPOT CAKE CASES,526,6,True
2011-02-27,21212,PACK OF 72 RETROSPOT CAKE CASES,718,6,True
2011-03-06,21212,PACK OF 72 RETROSPOT CAKE CASES,689,6,True
2011-03-13,21212,PACK OF 72 RETROSPOT CAKE CASES,813,6,True
2011-03-20,21212,PACK OF 72 RETROSPOT CAKE CASES,1303,6,True
2011-03-27,21212,PACK OF 72 RETROSPOT CAKE CASES,527,6,True
2011-04-03,21212,PACK OF 72 RETROSPOT CAKE CASES,785,6,True
2011-04-10,21212,PACK OF 72 RETROSPOT CAKE CASES,643,6,True
2011-04-17,21212,PACK OF 72 RETROSPOT CAKE CASES,598,6,True
2011-04-24,21212,PACK OF 72 RETROSPOT CAKE CASES,1421,4,False
2011-05-01,21212,PACK OF 72 RETROSPOT CAKE CASES,315,4,False
2011-05-08,21212,PACK OF 72 RETROSPOT CAKE CASES,787,5,True
2011-05-15,21212,PACK OF 72 RETROSPOT CAKE CASES,1647,6,True
2011-05-22,21212,PACK OF 72 RETROSPOT CAKE CASES,598,6,True
2011-05-29,21212,PACK OF 72 RETROSPOT CAKE CASES,360,6,True
2011-06-05,21212,PACK OF 72 RETROSPOT CAKE CASES,229,5,True
2011-06-12,21212,PACK OF 72 RETROSPOT CAKE CASES,619,6,True
2011-06-19,21212,PACK OF 72 RETROSPOT CAKE CASES,856,6,True
2011-06-26,21212,PACK OF 72 RETROSPOT CAKE CASES,181,6,True
2011-07-03,21212,PACK OF 72 RETROSPOT CAKE CASES,123,6,True
2011-07-10,21212,PACK OF 72 RETROSPOT CAKE CASES,1109,6,True
2011-07-17,21212,PACK OF 72 RETROSPOT CAKE CASES,253,6,True
2011-07-24,21212,PACK OF 72 RETROSPOT CAKE CASES,335,6,True
2011-07-31,21212,PACK OF 72 RETROSPOT CAKE CASES,1083,6,True
2011-08-07,21212,PACK OF 72 RETROSPOT CAKE CASES,445,6,True
2011-08-14,21212,PACK OF 72 RETROSPOT CAKE CASES,335,6,True
2011-08-21,21212,PACK OF 72 RETROSPOT CAKE CASES,1650,6,True
2011-08-28,21212,PACK OF 72 RETROSPOT CAKE CASES,507,6,True
2011-09-04,21212,PACK OF 72 RETROSPOT CAKE CASES,458,5,True
2011-09-11,21212,PACK OF 72 RETROSPOT CAKE CASES,712,6,True
2011-09-18,21212,PACK OF 72 RETROSPOT CAKE CASES,955,6,True
2011-09-25,21212,PACK OF 72 RETROSPOT CAKE CASES,1028,6,True
2011-10-02,21212,PACK OF 72 RETROSPOT CAKE CASES,359,6,True
2011-10-09,21212,PACK OF 72 RETROSPOT CAKE CASES,477,6,True
2011-10-16,21212,PACK OF 72 RETROSPOT CAKE CASES,499,6,True
2011-10-23,21212,PACK OF 72 RETROSPOT CAKE CASES,503,6,True
2011-10-30,21212,PACK OF 72 RETROSPOT CAKE CASES,521,6,True
2011-11-06,21212,PACK OF 72 RETROSPOT CAKE CASES,1041,6,True
2011-11-13,21212,PACK OF 72 RETROSPOT CAKE CASES,362,6,True
2011-11-20,21212,PACK OF 72 RETROSPOT CAKE CASES,588,6,True
2011-11-27,21212,PACK OF 72 RETROSPOT CAKE CASES,341,6,True
2011-12-04,21212,PACK OF 72 RETROSPOT CAKE CASES,546,6,True
2011-12-11,21212,PACK OF 72 RETROSPOT CAKE CASES,266,5,True
2009-12-06,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,731,6,True
2009-12-13,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1204,6,True
